"browser","version","release_date","baseline_wa_compatible","baseline_year_compatible"
"chrome_android","111","2023-03-07","true","2022"
"chrome_android","112","2023-04-04","true","2022"
"chrome_android","113","2023-05-02","true","2022"
"chrome_android","114","2023-05-30","true","2022"
"chrome_android","115","2023-07-21","true","2022"
"chrome_android","116","2023-08-15","true","2022"
"chrome_android","117","2023-09-12","true","2022"
"chrome_android","118","2023-10-10","true","2022"
"chrome_android","119","2023-10-31","true","2022"
"chrome_android","120","2023-12-05","true","2023"
"chrome_android","121","2024-01-23","true","2023"
"chrome_android","122","2024-02-20","true","2023"
"chrome_android","123","2024-03-19","true","2023"
"chrome_android","124","2024-04-16","true","2023"
"chrome_android","125","2024-05-14","true","2023"
"chrome_android","126","2024-06-11","true","2023"
"chrome_android","127","2024-07-23","true","2023"
"chrome_android","128","2024-08-20","true","2023"
"chrome_android","129","2024-09-17","true","2023"
"chrome_android","130","2024-10-15","true","2023"
"chrome_android","131","2024-11-12","true","2024"
"chrome_android","132","2025-01-14","true","2024"
"chrome_android","133","2025-02-04","true","2024"
"chrome_android","134","2025-03-04","true","2024"
"chrome_android","135","2025-04-01","true","2024"
"chrome_android","136","2025-04-29","true","2024"
"chrome_android","137","2025-05-27","true","2024"
"chrome_android","138","2025-06-24","true","2025"
"edge","14","2016-08-02","false","2016"
"edge","15","2017-04-05","false","2016"
"edge","16","2017-10-17","false","2017"
"edge","17","2018-04-30","false","2017"
"edge","18","2018-10-02","false","2018"
"edge","79","2020-01-15","false","2018"
"edge","80","2020-02-07","false","2018"
"edge","81","2020-04-13","false","2018"
"edge","83","2020-05-21","false","2018"
"edge","84","2020-07-16","false","2018"
"edge","85","2020-08-27","false","2018"
"edge","86","2020-10-09","false","2018"
"edge","87","2020-11-19","false","2019"
"edge","88","2021-01-21","false","2019"
"edge","89","2021-03-04","false","2019"
"edge","90","2021-04-15","false","2019"
"edge","91","2021-05-27","false","2019"
"edge","92","2021-07-22","false","2019"
"edge","93","2021-09-02","false","2019"
"edge","94","2021-09-24","false","2019"
"edge","95","2021-10-21","false","2019"
"edge","96","2021-11-19","false","2020"
"edge","97","2022-01-06","false","2020"
"edge","98","2022-02-03","false","2020"
"edge","99","2022-03-03","false","2020"
"edge","100","2022-04-01","false","2020"
"edge","101","2022-04-28","false","2020"
"edge","102","2022-05-31","false","2020"
"edge","103","2022-06-23","false","2020"
"edge","104","2022-08-05","false","2020"
"edge","105","2022-09-01","false","2020"
"edge","106","2022-10-03","false","2020"
"edge","107","2022-10-27","false","2020"
